,DATE,INDPRO
199,2013-12-17,100.3777
200,2013-12-18,100.3777
201,2013-12-19,100.3777
202,2013-12-20,100.3777
203,2013-12-21,100.3777
204,2013-12-22,100.3777
205,2013-12-23,100.3777
206,2013-12-24,100.3777
207,2013-12-25,100.3777
208,2013-12-26,100.3777
209,2013-12-27,100.3777
210,2013-12-28,100.3777
211,2013-12-29,100.3777
212,2013-12-30,100.3777
213,2013-12-31,100.3777
214,2014-01-01,99.999
215,2014-01-02,99.999
216,2014-01-03,99.999
217,2014-01-04,99.999
218,2014-01-05,99.999
219,2014-01-06,99.999
220,2014-01-07,99.999
221,2014-01-08,99.999
222,2014-01-09,99.999
223,2014-01-10,99.999
224,2014-01-11,99.999
225,2014-01-12,99.999
226,2014-01-13,99.999
227,2014-01-14,99.999
228,2014-01-15,99.999
229,2014-01-16,99.999
230,2014-01-17,99.999
231,2014-01-18,99.999
232,2014-01-19,99.999
233,2014-01-20,99.999
234,2014-01-21,99.999
235,2014-01-22,99.999
236,2014-01-23,99.999
237,2014-01-24,99.999
238,2014-01-25,99.999
239,2014-01-26,99.999
240,2014-01-27,99.999
241,2014-01-28,99.999
242,2014-01-29,99.999
243,2014-01-30,99.999
244,2014-01-31,99.999
245,2014-02-01,100.7583
246,2014-02-02,100.7583
247,2014-02-03,100.7583
248,2014-02-04,100.7583
249,2014-02-05,100.7583
250,2014-02-06,100.7583
251,2014-02-07,100.7583
252,2014-02-08,100.7583
253,2014-02-09,100.7583
254,2014-02-10,100.7583
255,2014-02-11,100.7583
256,2014-02-12,100.7583
257,2014-02-13,100.7583
258,2014-02-14,100.7583
259,2014-02-15,100.7583
260,2014-02-16,100.7583
261,2014-02-17,100.7583
262,2014-02-18,100.7583
263,2014-02-19,100.7583
264,2014-02-20,100.7583
265,2014-02-21,100.7583
266,2014-02-22,100.7583
267,2014-02-23,100.7583
268,2014-02-24,100.7583
269,2014-02-25,100.7583
270,2014-02-26,100.7583
271,2014-02-27,100.7583
272,2014-02-28,100.7583
273,2014-03-01,101.7767
274,2014-03-02,101.7767
275,2014-03-03,101.7767
276,2014-03-04,101.7767
277,2014-03-05,101.7767
278,2014-03-06,101.7767
279,2014-03-07,101.7767
280,2014-03-08,101.7767
281,2014-03-09,101.7767
282,2014-03-10,101.7767
283,2014-03-11,101.7767
284,2014-03-12,101.7767
285,2014-03-13,101.7767
286,2014-03-14,101.7767
287,2014-03-15,101.7767
288,2014-03-16,101.7767
289,2014-03-17,101.7767
290,2014-03-18,101.7767
291,2014-03-19,101.7767
292,2014-03-20,101.7767
293,2014-03-21,101.7767
294,2014-03-22,101.7767
295,2014-03-23,101.7767
296,2014-03-24,101.7767
297,2014-03-25,101.7767
298,2014-03-26,101.7767
299,2014-03-27,101.7767
300,2014-03-28,101.7767
301,2014-03-29,101.7767
302,2014-03-30,101.7767
303,2014-03-31,101.7767
304,2014-04-01,101.8425
305,2014-04-02,101.8425
306,2014-04-03,101.8425
307,2014-04-04,101.8425
308,2014-04-05,101.8425
309,2014-04-06,101.8425
310,2014-04-07,101.8425
311,2014-04-08,101.8425
312,2014-04-09,101.8425
313,2014-04-10,101.8425
314,2014-04-11,101.8425
315,2014-04-12,101.8425
316,2014-04-13,101.8425
317,2014-04-14,101.8425
318,2014-04-15,101.8425
319,2014-04-16,101.8425
320,2014-04-17,101.8425
321,2014-04-18,101.8425
322,2014-04-19,101.8425
323,2014-04-20,101.8425
324,2014-04-21,101.8425
325,2014-04-22,101.8425
326,2014-04-23,101.8425
327,2014-04-24,101.8425
328,2014-04-25,101.8425
329,2014-04-26,101.8425
330,2014-04-27,101.8425
331,2014-04-28,101.8425
332,2014-04-29,101.8425
333,2014-04-30,101.8425
334,2014-05-01,102.2594
335,2014-05-02,102.2594
336,2014-05-03,102.2594
337,2014-05-04,102.2594
338,2014-05-05,102.2594
339,2014-05-06,102.2594
