DATE,XLB_CLOSE,XLB_HIGH,XLB_LOW,XLB_OPEN,XLB_VOLUME
2013-05-31T00:00:00.000Z,32.7967691272,33.3501637427,32.780492815,33.0978809033,7776800
2013-06-03T00:00:00.000Z,32.9595322494,32.9758085616,32.5770389122,32.8862888444,6264400
2013-06-04T00:00:00.000Z,32.9188414688,33.1467098399,32.7316638783,32.9595322494,6326900
2013-06-05T00:00:00.000Z,32.1864074189,32.8293217516,32.1864074189,32.8293217516,8710200
2013-06-06T00:00:00.000Z,32.3979994777,32.41427579,32.0317824527,32.1782692627,7222600
2013-06-07T00:00:00.000Z,32.6991112538,32.7398020344,32.3654468533,32.487519195,9937700
2013-06-10T00:00:00.000Z,32.85373622,32.9432559372,32.7235257222,32.8130454394,4633500
2013-06-11T00:00:00.000Z,32.3979994777,32.7316638783,32.3003416044,32.4793810388,6061400
2013-06-12T00:00:00.000Z,32.2352363555,32.7398020344,32.2108218872,32.6421441611,7729200
2013-06-13T00:00:00.000Z,32.8293217516,32.8862888444,32.1131640139,32.1538547944,9385600
2013-06-14T00:00:00.000Z,32.5933152244,32.9839467177,32.5119336633,32.7235257222,5029000
2013-06-17T00:00:00.000Z,32.8700125322,32.9351177811,32.6665586294,32.8700125322,4488300
2013-06-18T00:00:00.000Z,33.0164993422,33.0653282788,32.7967691272,32.8455980638,4159700
2013-06-19T00:00:00.000Z,32.7642165027,33.1548479961,32.7642165027,32.9513940933,8422800
2013-06-20T00:00:00.000Z,31.9178482672,32.4305521022,31.8039140816,32.26778898,13191500
2013-06-21T00:00:00.000Z,31.8061276601,32.2202592694,31.4699019971,32.2038580176,11069400
2013-06-24T00:00:00.000Z,31.3017891656,31.5396073175,30.9819647544,31.3427922952,12424500
2013-06-25T00:00:00.000Z,31.4904035619,31.6626167064,31.2935885396,31.6626167064,5336200
2013-06-26T00:00:00.000Z,31.6380148286,31.7159207749,31.3345916693,31.6216135767,5108400
2013-06-27T00:00:00.000Z,31.6216135767,31.8430304768,31.5970116989,31.8430304768,4674000
2013-06-28T00:00:00.000Z,31.4453001193,31.703619836,31.367394173,31.4986041878,8137900
2013-07-01T00:00:00.000Z,31.6298142027,31.9578392398,31.5688015458,31.7938267212,11203600
2013-07-02T00:00:00.000Z,31.5314066915,31.7856260953,31.359193547,31.5068048137,4235500
2013-07-03T00:00:00.000Z,31.5396073175,31.6052123249,31.3181904174,31.3427922952,3311200
2013-07-05T00:00:00.000Z,31.7528235916,31.7692248434,31.47400231,31.7528235916,3525500
2013-07-08T00:00:00.000Z,31.933237362,32.0152436213,31.8020273471,31.8922342323,3922900
2013-07-09T00:00:00.000Z,32.4252749176,32.499080551,32.154654262,32.154654262,4799000
2013-07-10T00:00:00.000Z,32.4170742917,32.5400836806,32.2366605213,32.3924724139,3789700
2013-07-11T00:00:00.000Z,32.9419143511,33.0075193585,32.7779018325,32.835306214,5320500
2013-07-12T00:00:00.000Z,32.8271055881,33.0075193585,32.6893350725,32.9993187326,3787900
2013-07-15T00:00:00.000Z,32.9091118474,32.9665162289,32.7738015196,32.8271055881,7371400
2013-07-16T00:00:00.000Z,32.6630930695,32.9829174807,32.5236824288,32.9337137251,5863100
2013-07-17T00:00:00.000Z,32.9665162289,33.0567231141,32.7532999547,32.835306214,6976600
2013-07-18T00:00:00.000Z,32.9829174807,33.1633312511,32.9050115344,32.9173124733,3759400
2013-07-19T00:00:00.000Z,33.1961337548,33.1961337548,32.9009112214,32.950114977,6055500
2013-07-22T00:00:00.000Z,33.2289362585,33.3765475252,33.179732503,33.179732503,4927100
2013-07-23T00:00:00.000Z,33.3273437697,33.6881713105,33.2617387622,33.5241587919,4847000
2013-07-24T00:00:00.000Z,33.0157199844,33.4667544104,32.8763093436,33.4667544104,5741100
2013-07-25T00:00:00.000Z,33.3273437697,33.3683468993,32.7697012066,32.8845099696,4030600
2013-07-26T00:00:00.000Z,33.2043343808,33.2453375104,32.9255130992,33.1305287474,4201300
2013-07-29T00:00:00.000Z,33.3929487771,33.4339519067,33.0239206103,33.0731243659,7354800
2013-07-30T00:00:00.000Z,33.3109425178,33.3765475252,32.9337137251,33.0731243659,4822500
2013-07-31T00:00:00.000Z,33.1961337548,33.5077575401,33.1469299993,33.3355443956,5837600
2013-08-01T00:00:00.000Z,33.4421525327,33.6143656771,33.3601462734,33.4175506549,4594000
2013-08-02T00:00:00.000Z,33.630766929,33.6553688068,33.294541266,33.3929487771,2838100
2013-08-05T00:00:00.000Z,33.5405600438,33.6635694327,33.4831556623,33.5405600438,2539000
2013-08-06T00:00:00.000Z,33.2305763837,33.5651619216,33.1444698115,33.5405600438,3371300
2013-08-07T00:00:00.000Z,33.2453375104,33.3518636412,33.1141274955,33.1141274955,2944600
2013-08-08T00:00:00.000Z,33.737375066,33.860384455,33.4585537845,33.5323594179,4199300
2013-08-09T00:00:00.000Z,33.9341900883,34.0407982254,33.6471681808,33.6471681808,7383100
2013-08-12T00:00:00.000Z,33.8849863327,33.9842139065,33.7947794475,33.8685850809,4046600
2013-08-13T00:00:00.000Z,34.0079957217,34.1064032328,33.7865788216,33.9751932179,3971700
2013-08-14T00:00:00.000Z,33.9341900883,34.1802088661,33.9177888365,34.0243969735,3957600
2013-08-15T00:00:00.000Z,33.6881713105,33.745575692,33.401149403,33.6225663031,5600900
2013-08-16T00:00:00.000Z,33.4257512808,33.6471681808,33.3355443956,33.6389675549,7070500
2013-08-19T00:00:00.000Z,33.1633312511,33.491274282,33.1346290604,33.3929487771,4644500
2013-08-20T00:00:00.000Z,33.3519456474,33.4503531586,33.0977262437,33.1633312511,3271100
2013-08-21T00:00:00.000Z,33.0977262437,33.4150904671,33.0403218622,33.2535381363,4850700
2013-08-22T00:00:00.000Z,33.4913562882,33.5405600438,33.179732503,33.2289362585,4617300
2013-08-23T00:00:00.000Z,33.7619769438,33.8275819512,33.3970490901,33.5487606697,4462900
2013-08-26T00:00:00.000Z,33.7619769438,34.0900019809,33.7291744401,33.852183829,5687000
2013-08-27T00:00:00.000Z,33.1674315641,33.5897637993,33.0977262437,33.4913562882,5893200
2013-08-28T00:00:00.000Z,33.1059268696,33.2740397011,33.0485224881,33.1305287474,3495000
2013-08-29T00:00:00.000Z,33.2125350067,33.4060697786,32.950114977,32.9911181066,4085600
2013-08-30T00:00:00.000Z,33.1551306252,33.3109425178,33.0813249918,33.2371368845,5600300
2013-09-03T00:00:00.000Z,33.3535857726,33.737375066,33.2207356326,33.6471681808,4361300
2013-09-04T00:00:00.000Z,33.6635694327,33.7045725623,33.1920334419,33.2781400141,4319100
2013-09-05T00:00:00.000Z,33.7209738142,33.8275819512,33.630766929,33.6799706846,5504500
2013-09-06T00:00:00.000Z,33.6799706846,33.9997950957,33.5405600438,33.9751932179,4987200
2013-09-09T00:00:00.000Z,34.1884094921,34.2294126217,33.7783781957,33.7865788216,5438200
2013-09-10T00:00:00.000Z,34.4959329643,34.6148420403,34.303218255,34.4344282699,7251600
2013-09-11T00:00:00.000Z,34.7050489255,34.729568797,34.3524220106,34.5082339032,6173900
2013-09-12T00:00:00.000Z,34.3442213847,34.647644544,34.2909173162,34.5492370329,5960800
2013-09-13T00:00:00.000Z,34.5738389107,34.6312432922,34.3360207588,34.4426288958,7414400
2013-09-16T00:00:00.000Z,34.9592683293,35.1232808478,34.8444595663,35.0740770922,8353000
2013-09-17T00:00:00.000Z,34.8608608181,35.0166727107,34.7952558107,34.9100645737,4650400
2013-09-18T00:00:00.000Z,35.664522159,35.7137259146,34.7775424587,34.9100645737,10134500
2013-09-19T00:00:00.000Z,35.5374124571,35.9023403109,35.4595065108,35.8039327998,6204100
2013-09-20T00:00:00.000Z,35.1285784522,35.6313572615,35.0873670743,35.6313572615,10990500
2013-09-23T00:00:00.000Z,34.8648256341,35.1368207277,34.848341083,35.0296711454,6556300
2013-09-24T00:00:00.000Z,34.848341083,35.112093901,34.7659183274,34.8565833586,3488400
2013-09-25T00:00:00.000Z,34.9390061142,35.16978983,34.8071297052,34.9390061142,4259000
2013-09-26T00:00:00.000Z,35.16978983,35.3181507901,34.9884597676,35.0873670743,5845200
2013-09-27T00:00:00.000Z,34.7494337762,35.0214288698,34.716464674,34.9142792875,3796300
2013-09-30T00:00:00.000Z,34.6257996428,34.7494337762,34.3125931714,34.4115004781,5672600
2013-10-01T00:00:00.000Z,34.7741606029,34.7988874296,34.4444695804,34.6257996428,5015000
2013-10-02T00:00:00.000Z,34.8648256341,34.8730679097,34.4609541315,34.5763459894,4278100
2013-10-03T00:00:00.000Z,34.5681037138,34.8153719807,34.3167143091,34.8153719807,7084300
2013-10-04T00:00:00.000Z,35.0708825232,35.0832459366,34.5021655093,34.5763459894,5167000
2013-10-07T00:00:00.000Z,34.6422841939,34.9629087133,34.6175573672,34.6670110206,5994600
2013-10-08T00:00:00.000Z,34.0900517311,34.658768745,34.0653249044,34.658768745,8603200
2013-10-09T00:00:00.000Z,34.1395053845,34.3289952997,33.8592680154,34.1889590379,6198500
2013-10-10T00:00:00.000Z,34.8648256341,34.9225215631,34.526892336,34.6093150916,5424700
2013-10-11T00:00:00.000Z,35.0708825232,35.0791247988,34.7494337762,34.8730679097,5060300
2013-10-14T00:00:00.000Z,35.1945166567,35.2357280345,34.790645154,34.790645154,6160300
2013-10-15T00:00:00.000Z,34.980217492,35.24397031,34.9010092238,35.0791247988,5367200
2013-10-16T00:00:00.000Z,35.3346353412,35.440960696,35.0626402476,35.1945166567,4270800
2013-10-17T00:00:00.000Z,35.792081635,35.8291718751,35.2192434834,35.2192434834,4641000
2013-10-18T00:00:00.000Z,35.9025281276,36.0269864886,35.7343857061,36.0269864886,7404800
2013-10-21T00:00:00.000Z,35.8951100796,35.9692905596,35.7632336706,35.9280791818,3899100
2013-10-22T00:00:00.000Z,36.4143734401,36.4967961957,36.0599555908,36.0846824175,5519100
2013-10-23T00:00:00.000Z,36.1753474487,36.2907393066,36.1258937954,36.2660124799,5391100
2013-10-24T00:00:00.000Z,36.3566775111,36.3814043378,36.018744213,36.2165588266,3241300
2013-10-25T00:00:00.000Z,36.4638270935,36.4638270935,36.1176515198,36.4308579912,5771400
2013-10-28T00:00:00.000Z,36.2824970311,36.5050384713,36.1753474487,36.4391002668,6314700
2013-10-29T00:00:00.000Z,36.3558532836,36.3649197867,36.1258937954,36.2824970311,4283200
2013-10-30T00:00:00.000Z,36.1341360709,36.5627344002,35.9115946307,36.3319506844,5499600
