DATE,SPY_CLOSE,SPY_HIGH,SPY_LOW,SPY_OPEN,SPY_VOLUME
2013-05-31T00:00:00.000Z,135.7264838151,138.1013858874,135.4607605064,137.3208236678,176380148
2013-06-03T00:00:00.000Z,136.4738306211,136.5651730085,135.0704793966,136.0420302443,167962719
2013-06-04T00:00:00.000Z,135.8178262025,137.0966196261,135.1286063704,136.5485653017,157537197
2013-06-05T00:00:00.000Z,133.916243774,135.7015722549,133.7999898264,135.4275450928,211235847
2013-06-06T00:00:00.000Z,135.1286063704,135.1369102238,133.0692507273,133.8581168002,200064681
2013-06-07T00:00:00.000Z,136.8475040241,136.9720618251,135.4690643598,136.0586379511,185761019
2013-06-10T00:00:00.000Z,136.8475040241,137.345735228,136.4904383279,137.2710005474,102542965
2013-06-11T00:00:00.000Z,135.4358489462,136.6316038357,135.1369102238,135.6019260141,159379607
2013-06-12T00:00:00.000Z,134.3148287372,136.5070460347,134.1902709362,136.3658805269,176962186
2013-06-13T00:00:00.000Z,136.3575766735,136.5983884221,133.9411553342,134.2400940566,163201480
2013-06-14T00:00:00.000Z,135.5022797734,136.7395539299,135.2780757316,136.2081073123,141018099
2013-06-17T00:00:00.000Z,136.5485653017,137.1962658669,135.5354951869,136.4240075007,136114269
2013-06-18T00:00:00.000Z,137.6280662436,137.8356625786,136.6149961289,136.6232999823,114592356
2013-06-19T00:00:00.000Z,135.7264838151,137.7526240446,135.6683568413,137.511812296,205916944
2013-06-20T00:00:00.000Z,132.3634231883,135.7430915219,132.0146613456,134.4061711246,320785551
2013-06-21T00:00:00.000Z,132.7861889726,133.362177345,131.4505637613,133.2620054541,271424782
2013-06-24T00:00:00.000Z,131.108309801,132.2519388881,129.9980713441,131.4004778159,221849792
2013-06-25T00:00:00.000Z,132.3688060941,133.6459977024,131.4088254735,132.293677176,161987972
2013-06-26T00:00:00.000Z,133.6793883326,133.9799040052,132.9364468089,133.4540015782,134713304
2013-06-27T00:00:00.000Z,134.4640681443,135.0817948045,134.3555485958,134.4807634594,129359801
2013-06-28T00:00:00.000Z,133.9131227446,134.7311931865,133.4456539207,134.0884235536,160158020
2013-07-01T00:00:00.000Z,134.6978025562,135.6327402041,134.4640681443,134.6143259805,131657906
2013-07-02T00:00:00.000Z,134.5725876927,135.4824823679,133.9799040052,134.4974587745,144734577
2013-07-03T00:00:00.000Z,134.6310212957,135.0400565166,133.7461695932,133.96320869,75216341
2013-07-05T00:00:00.000Z,136.0835137129,136.1335996583,134.6477166108,135.6243925466,122350267
2013-07-08T00:00:00.000Z,136.859845867,137.2271428001,136.1335996583,136.7847169488,106842928
2013-07-09T00:00:00.000Z,137.8448694603,138.0118226117,137.1269709092,137.7196545967,119211370
2013-07-10T00:00:00.000Z,137.8949554057,138.3624242296,137.4274865818,137.7113069392,120332699
2013-07-11T00:00:00.000Z,139.773178359,139.9150885377,137.8866077481,139.4977056592,135466463
2013-07-12T00:00:00.000Z,139.831611962,140.18221358,139.5144009744,139.7314400712,102638074
2013-07-15T00:00:00.000Z,140.3658620465,140.5662058282,139.9735221407,140.2156042103,69387788
2013-07-16T00:00:00.000Z,139.8399596196,140.5411628555,139.4643150289,140.4576862798,88590595
2013-07-17T00:00:00.000Z,140.1989088951,140.6413347464,140.0152604286,140.3742097041,91766311
2013-07-18T00:00:00.000Z,140.9668933916,141.3007996944,140.4076003344,140.4994245677,103461245
2013-07-19T00:00:00.000Z,141.2173231187,141.2674090642,140.4994245677,140.6747253767,103709128
2013-07-22T00:00:00.000Z,141.4927958186,141.6931396002,141.0837605976,141.4176669004,79307249
2013-07-23T00:00:00.000Z,141.192280146,141.7682685184,141.1171512279,141.7432255457,80765520
2013-07-24T00:00:00.000Z,140.6747253767,141.7933114911,140.3909050193,141.7348778881,112811714
2013-07-25T00:00:00.000Z,141.016979337,141.1421942006,140.1905612376,140.4242956495,111066858
2013-07-26T00:00:00.000Z,141.1672371733,141.2089754612,139.8399596196,140.4242956495,107750433
2013-07-29T00:00:00.000Z,140.7331589796,141.1254988855,140.3324714163,140.8082878978,79712464
2013-07-30T00:00:00.000Z,140.7331589796,141.309147352,140.3992526768,141.1588895157,85124833
2013-07-31T00:00:00.000Z,140.8333308705,141.7849638335,140.6496824039,141.0253269946,142329200
2013-08-01T00:00:00.000Z,142.4611240967,142.5863389603,141.8267021214,141.9018310395,110213653
2013-08-02T00:00:00.000Z,142.7032061663,142.7199014814,141.9519169849,142.143913109,91009697
2013-08-05T00:00:00.000Z,142.494514727,142.7115538238,142.202346712,142.3859951786,53868607
2013-08-06T00:00:00.000Z,141.6847919427,142.5279053573,141.367580955,142.2190420272,87403388
2013-08-07T00:00:00.000Z,141.2256707763,141.4343622156,140.6997683494,141.2340184339,84663314
2013-08-08T00:00:00.000Z,141.7432255457,142.0604365333,141.016979337,141.8934833819,101940958
2013-08-09T00:00:00.000Z,141.3341903247,141.9936552728,140.8416785281,141.5595770791,91824151
2013-08-12T00:00:00.000Z,141.1672371733,141.3341903247,140.5578581707,140.6246394312,68477641
2013-08-13T00:00:00.000Z,141.5846200518,141.8267021214,140.5829011434,141.4176669004,80689816
2013-08-14T00:00:00.000Z,140.8583738432,141.7432255457,140.8249832129,141.5178387913,79609123
2013-08-15T00:00:00.000Z,138.8883266566,139.7648307015,138.646244587,139.7481353863,152647543
2013-08-16T00:00:00.000Z,138.4292054902,139.0970180958,138.1537327904,138.6212016143,130636116
2013-08-19T00:00:00.000Z,137.5443537877,138.7464164779,137.5360061302,138.2705999964,96330805
2013-08-20T00:00:00.000Z,138.2205140509,138.7380688203,137.6194827059,137.7697405421,89235551
2013-08-21T00:00:00.000Z,137.3690529788,138.5961586416,137.0601896487,137.8365218027,159343176
2013-08-22T00:00:00.000Z,138.6212016143,138.821545396,137.6445256786,137.6528733362,101381277
2013-08-23T00:00:00.000Z,139.0886704383,139.2639712473,138.3791195448,139.0302368353,90872824
2013-08-26T00:00:00.000Z,138.5711156689,139.6563111531,138.4792914356,139.230580617,89492894
2013-08-27T00:00:00.000Z,136.3422910976,138.5711156689,136.2421192068,137.2020998274,158359408
2013-08-28T00:00:00.000Z,136.8264552367,137.3106193758,136.1085566856,136.2838574946,107750295
2013-08-29T00:00:00.000Z,137.0434943335,137.7697405421,136.4007247006,136.5259395642,119032950
2013-08-30T00:00:00.000Z,136.6094161399,137.3440100061,136.2087285765,137.3273146909,134740736
2013-09-03T00:00:00.000Z,137.2271428001,138.2205140509,136.6511544277,137.928346036,142331733
2013-09-04T00:00:00.000Z,138.3624242296,138.5961586416,137.0101037032,137.2605334304,97219175
2013-09-05T00:00:00.000Z,138.5377250386,138.9050219717,138.3457289145,138.4459008053,63023864
2013-09-06T00:00:00.000Z,138.6045062992,139.3891861108,137.3022717182,138.996846205,159700226
2013-09-09T00:00:00.000Z,139.9317838529,140.0152604286,138.9467602596,138.9467602596,87408601
2013-09-10T00:00:00.000Z,140.9668933916,140.9919363643,140.4576862798,140.7748972675,105300853
2013-09-11T00:00:00.000Z,141.4093192428,141.4093192428,140.532815198,140.7748972675,94296092
2013-09-12T00:00:00.000Z,141.0336746522,141.542881764,140.8416785281,141.3592332974,83134871
2013-09-13T00:00:00.000Z,141.3508856399,141.4594051883,140.8583738432,141.1839324884,72700859
2013-09-16T00:00:00.000Z,142.1689560818,142.9452882358,141.9435693274,142.8785069752,126115232
2013-09-17T00:00:00.000Z,142.8033780571,142.8367686874,142.2941709453,142.2941709453,82269719
